Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 00:00:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:05:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:10:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:15:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:20:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:25:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:30:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:35:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:40:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 00:45:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 00:50:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 00:55:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:00:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:05:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:10:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:15:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:20:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:25:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:30:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:35:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:40:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:38","2:00","2:45"
"Mon Feb 13 2017 01:45:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 01:50:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 01:55:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 02:00:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 02:05:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 02:10:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 02:15:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 02:20:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 02:25:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
