Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 00:00:00 GMT-0500 (Eastern Standard Time)","0:57","0:47","1:06","0:44","1:13"
"Mon Feb 13 2017 00:05:00 GMT-0500 (Eastern Standard Time)","0:55","0:47","1:05","0:44","1:10"
"Mon Feb 13 2017 00:10:00 GMT-0500 (Eastern Standard Time)","0:55","0:47","1:05","0:44","1:10"
"Mon Feb 13 2017 00:15:00 GMT-0500 (Eastern Standard Time)","0:55","0:47","1:05","0:40","1:11"
"Mon Feb 13 2017 00:20:00 GMT-0500 (Eastern Standard Time)","0:54","0:47","1:05","0:40","1:12"
"Mon Feb 13 2017 00:25:00 GMT-0500 (Eastern Standard Time)","0:53","0:47","1:05","0:40","1:11"
"Mon Feb 13 2017 00:30:00 GMT-0500 (Eastern Standard Time)","0:54","0:47","1:04","0:40","1:11"
"Mon Feb 13 2017 00:35:00 GMT-0500 (Eastern Standard Time)","0:54","0:46","1:05","0:40","1:12"
"Mon Feb 13 2017 00:40:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:02","0:40","1:05"
"Mon Feb 13 2017 00:45:00 GMT-0500 (Eastern Standard Time)","0:53","0:45","1:02","0:40","1:06"
"Mon Feb 13 2017 00:50:00 GMT-0500 (Eastern Standard Time)","0:53","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 00:55:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 01:00:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 01:05:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:01","0:40","1:05"
"Mon Feb 13 2017 01:10:00 GMT-0500 (Eastern Standard Time)","0:52","0:45","1:00","0:40","1:03"
"Mon Feb 13 2017 01:15:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","1:00","0:40","1:02"
"Mon Feb 13 2017 01:20:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","0:58","0:40","1:02"
"Mon Feb 13 2017 01:25:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","0:59","0:40","1:01"
"Mon Feb 13 2017 01:30:00 GMT-0500 (Eastern Standard Time)","0:49","0:45","0:57","0:40","1:01"
"Mon Feb 13 2017 01:35:00 GMT-0500 (Eastern Standard Time)","0:47","0:45","0:54","0:40","1:00"
"Mon Feb 13 2017 01:40:00 GMT-0500 (Eastern Standard Time)","0:47","0:45","0:54","0:40","1:00"
"Mon Feb 13 2017 01:45:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 01:50:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 01:55:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:00:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:05:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:10:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:53","0:36","1:00"
"Mon Feb 13 2017 02:15:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:20:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:25:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:30:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:36","0:59"
"Mon Feb 13 2017 02:35:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:51","0:36","0:58"
"Mon Feb 13 2017 02:40:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:36","0:58"
"Mon Feb 13 2017 02:45:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:38","0:58"
"Mon Feb 13 2017 02:50:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:51","0:37","0:58"
"Mon Feb 13 2017 02:55:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:52","0:40","1:00"
"Mon Feb 13 2017 03:00:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:40","0:59"
"Mon Feb 13 2017 03:05:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:40","0:59"
